"feature","Astro.L1.FGFR3.MT1G","Endo.L2.5.CLDN5","VLMC.L1.3.CYP1B1","Peri.L1.6.MUSTN1","Astro.L1.FGFR3.FOS","Oligo.L4.6.MOBP.COL18A1","OPC.L1.6.MYT1","Micro.L1.6.C1QC","Oligo.L4.6.OPALIN","Astro.L1.6.FGFR3.ETNPPL"
"3.8-1.2",0,0,0,0,0,0,0,0,0,0
"3.8-1.3",0,0,0,0,0,0,0,0,0,0
"3.8-1.4",0,0,0,0,0,0,0,0,0,0
"3.8-1.5",0,0,0,0,0,0,0,0,0,0
"5-HT3C2",0,0,0,0,0,0,0,0,0,0
"A1BG",0,0,0,0,0,0,0,0,0,0
"A1BG-AS1",0,0,0,0,0,0,0,0,0,0
"A1CF",0,0,0,0,0,0,0,0,0,0
"A2M",0.32614678,10.893824,0,3.2466667,0.17160714,0.026473684,0.15575862,10.034494,0.005015898,0.36895028
"A2M-AS1",0,0,0,0,0,0,0,0,0,0
"A2ML1",0.41376147,0.024615385,0,0.0475,0.7483929,0.10894737,0.046941582,0.05129893,0.020206023,0.69174033
"A2MP1",0,0,0,0,0,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0,0,0,0,0
"A4GALT",0,0.013269231,0,0.071666665,0,0,0,0,0,0
"A4GNT",0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0
"AAAS",0.14229357,0,0,0,0.30821428,0.08468421,0.014123712,0,0,0.41725138
"AACS",0.11436363,0,0.22375,0,0.025,0.04805263,0.0033448276,0,0,0.10345304
"AACSP1",0,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0,0,0.08991713
"AAED1",0,0,0,0,0,0,0,0,0,0
"AAGAB",0.05761468,0.051346153,0,0,0.14571428,0.07463158,0.017401032,0.027557522,0.017119048,0.15450276
"AAK1",5.1543055,6.607647,1.05625,5.43625,5.2505407,6.193047,6.527165,7.417819,3.08695,5.799191
"AAMDC",0.25513762,0,0.365,0,0.50875,0.82857895,0.08893287,0.0106028365,0.094531,0.5279696
"AAMP",0,0,0,0,0,0,0,0,0,0
"AANAT",0,0,0,0,0,0,0,0,0,0
"AAR2",0,0,0,0,0,0,0,0,0,0
"AARD",0,0,0,0,0,0,0,0,0,0
"AARS",0.13899082,0.06442308,0.2625,0,0.58339286,0.30363157,0.09483649,0.08978648,0.32027844,0.35864642
"AARS2",0,0,0,0,0,0,0,0,0,0
"AARSD1",0,0,0,0,0,0,0,0,0,0
"AASDH",1.6684403,0,0,0,0.8833929,0.31542104,0.3196724,0.0027046264,0.07027027,1.952569
"AASDHPPT",0,0,0,0,0,0,0,0,0,0
"AASS",3.5848625,0,2.2475,0.14708333,3.4325,3.0832632,2.1503103,0,1.5693959,6.976281
"AATBC",0,0,0,0,0,0,0,0,0,0
"AATF",0.104770645,0.012307692,0.7675,0,0.030892856,0.64010525,0.10486207,0.051207814,0.100777164,0.18222375
"AATK",0,0,0,0,0,1.3521053,0,0,1.7337013,0.018744828
"AATK-AS1",0,0,0,0,0,0,0,0,0,0
"ABAT",1.339633,0.09615385,0.0925,0.11416667,1.1705357,0.5078421,1.7035345,0.31721136,0.2696108,2.971884
"ABCA1",1.0895413,0.14057693,6.402,0.15458333,2.2714286,0.14282723,0.5977931,0.15288256,0.07801272,2.0080526
"ABCA10",0,0,10.324,0,0,0,0,0,0,0
"ABCA11P",0,0,0.27875,0,0,0,0.02637931,0,0,0.07266574
"ABCA12",0.0050458717,0,0,0.08541667,0.07339286,0.020157894,0,0,0,0.020137552
"ABCA13",0.062568806,0,0.155,0,0.070357144,0.07694737,0.042363014,0.031797152,0.010190325,0.076813795
"ABCA17P",0.1346789,0.025,0,0,0.2444643,0.2161579,0.097086206,0.014414893,0.08657916,0.23629986
"ABCA2",0.21614678,0,0,0,0.6825,7.7622046,0,0,7.91868,0.109351724
"ABCA3",0.33311927,0.085384615,0,0,0.5083929,0.50178945,0.45334482,0,0.19675417,0.6407044
"ABCA4",0,0,3.46375,0,0,0,0,0,0,0
"ABCA5",0,0.06403846,0.14625,2.0945833,0.019642858,2.2332633,1.586638,0,0.44476947,0
"ABCA6",0,0,8.676,0,0,0.06357895,0,0,0,0
"ABCA7",0,0,0,0,0.15196429,0,0,0,0,0.01160221
"ABCA8",0,0,10.584,0.032083333,0.070892856,8.5819845,0,0,8.403867,0
"ABCA9",0,0,11.112,0.95708334,0,0,0,0,0,0
