id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1096037,ENSG00000148584,29707,A1CF,APOBEC1 complementation factor,29974,10,n/a,n/a
1088950,ENSG00000097007,22,ABL1,"c-abl oncogene 1, non-receptor tyrosine kinase",25,9,n/a,n/a
1095293,ENSG00000143322,24,ABL2,v-abl Abelson murine leukemia viral oncogene homolog 2,27,1,n/a,n/a
1088958,ENSG00000099204,3958,ABLIM1,actin binding LIM protein 1,3983,10,n/a,n/a
1098150,ENSG00000163995,58649,ABLIM2,"actin binding LIM protein family, member 2",84448,4,n/a,n/a
1100429,ENSG00000173210,22641,ABLIM3,"actin binding LIM protein family, member 3",22885,5,n/a,n/a
1099067,ENSG00000167524,79036,AC005726.6,Uncharacterized serine/threonine-protein kinase SgK494,124923,17,n/a,n/a
1103741,ENSG00000189152,125164,AC007952.1,GRB2-related adapter protein-like,400581,17,n/a,n/a
1107028,ENSG00000225950,4878,AC008687.1,Uncharacterized protein,4909,19,n/a,n/a
1097081,ENSG00000157766,173,ACAN,aggrecan,176,15,n/a,n/a
1099152,ENSG00000167769,79092,ACER1,alkaline ceramidase 1,125981,19,n/a,n/a
1101160,ENSG00000177076,109860,ACER2,alkaline ceramidase 2,340485,9,n/a,n/a
1088593,ENSG00000087085,40,ACHE,acetylcholinesterase,43,7,n/a,n/a
1088050,ENSG00000072110,84,ACTN1,"actinin, alpha 1",87,14,n/a,n/a
1088265,ENSG00000077522,85,ACTN2,"actinin, alpha 2",88,1,n/a,n/a
1093174,ENSG00000130402,78,ACTN4,"actinin, alpha 4",81,19,n/a,n/a
1096739,ENSG00000154734,9369,ADAMTS1,"ADAM metallopeptidase with thrombospondin type 1 motif, 1",9510,21,n/a,n/a
1095152,ENSG00000142303,57475,ADAMTS10,"ADAM metallopeptidase with thrombospondin type 1 motif, 10",81794,19,n/a,n/a
1096326,ENSG00000151388,57473,ADAMTS12,"ADAM metallopeptidase with thrombospondin type 1 motif, 12",81792,5,n/a,n/a
1097420,ENSG00000160323,10934,ADAMTS13,"ADAM metallopeptidase with thrombospondin type 1 motif, 13",11093,9,n/a,n/a
1094563,ENSG00000138316,80112,ADAMTS14,"ADAM metallopeptidase with thrombospondin type 1 motif, 14",140766,10,n/a,n/a
1098713,ENSG00000166106,82001,ADAMTS15,"ADAM metallopeptidase with thrombospondin type 1 motif, 15",170689,11,n/a,n/a
1095641,ENSG00000145536,82002,ADAMTS16,"ADAM metallopeptidase with thrombospondin type 1 motif, 16",170690,5,n/a,n/a
1094896,ENSG00000140470,82003,ADAMTS17,"ADAM metallopeptidase with thrombospondin type 1 motif, 17",170691,15,n/a,n/a
1094955,ENSG00000140873,82004,ADAMTS18,"ADAM metallopeptidase with thrombospondin type 1 motif, 18",170692,16,n/a,n/a
1095677,ENSG00000145808,82222,ADAMTS19,"ADAM metallopeptidase with thrombospondin type 1 motif, 19",171019,5,n/a,n/a
1088599,ENSG00000087116,9368,ADAMTS2,"ADAM metallopeptidase with thrombospondin type 1 motif, 2",9509,5,n/a,n/a
1100418,ENSG00000173157,55872,ADAMTS20,"ADAM metallopeptidase with thrombospondin type 1 motif, 20",80070,12,n/a,n/a
1096890,ENSG00000156140,9367,ADAMTS3,"ADAM metallopeptidase with thrombospondin type 1 motif, 3",9508,4,n/a,n/a
1097221,ENSG00000158859,9366,ADAMTS4,"ADAM metallopeptidase with thrombospondin type 1 motif, 4",9507,1,n/a,n/a
1096740,ENSG00000154736,10937,ADAMTS5,"ADAM metallopeptidase with thrombospondin type 1 motif, 5",11096,21,n/a,n/a
1087525,ENSG00000049192,11015,ADAMTS6,"ADAM metallopeptidase with thrombospondin type 1 motif, 6",11174,5,n/a,n/a
1094181,ENSG00000136378,11014,ADAMTS7,"ADAM metallopeptidase with thrombospondin type 1 motif, 7",11173,15,n/a,n/a
1093896,ENSG00000134917,10936,ADAMTS8,"ADAM metallopeptidase with thrombospondin type 1 motif, 8",11095,11,n/a,n/a
1098040,ENSG00000163638,36278,ADAMTS9,"ADAM metallopeptidase with thrombospondin type 1 motif, 9",56999,3,n/a,n/a
1101337,ENSG00000178031,60237,ADAMTSL1,ADAMTS-like 1,92949,9,n/a,n/a
1104414,ENSG00000197859,9575,ADAMTSL2,ADAMTS-like 2,9719,9,n/a,n/a
1096898,ENSG00000156218,36464,ADAMTSL3,ADAMTS-like 3,57188,15,n/a,n/a
1095312,ENSG00000143382,33798,ADAMTSL4,ADAMTS-like 4,54507,1,n/a,n/a
1102912,ENSG00000185761,109668,ADAMTSL5,ADAMTS-like 5,339366,19,n/a,n/a
1097972,ENSG00000163485,131,ADORA1,adenosine A1 receptor,134,1,n/a,n/a
1092909,ENSG00000128271,132,ADORA2A,adenosine A2a receptor,135,22,n/a,n/a
1099782,ENSG00000170425,133,ADORA2B,adenosine A2b receptor,136,17,n/a,n/a
1092120,ENSG00000121933,137,ADORA3,adenosine A3 receptor,140,1,n/a,n/a
1094695,ENSG00000139154,78850,AEBP2,AE binding protein 2,121536,12,n/a,n/a
1105082,ENSG00000204305,174,AGER,advanced glycosylation end product-specific receptor,177,6,n/a,n/a
1094018,ENSG00000135541,34095,AHI1,Abelson helper integration site 1,54806,6,n/a,n/a
1099692,ENSG00000170017,211,ALCAM,activated leukocyte cell adhesion molecule,214,3,n/a,n/a
1099935,ENSG00000171094,235,ALK,anaplastic lymphoma receptor tyrosine kinase,238,2,n/a,n/a
1091429,ENSG00000116127,7794,ALMS1,Alstrom syndrome 1,7840,2,n/a,n/a
1101715,ENSG00000180318,8041,ALX1,ALX homeobox 1,8092,12,n/a,n/a
1096891,ENSG00000156150,254,ALX3,ALX homeobox 3,257,1,n/a,n/a
1087576,ENSG00000052850,37989,ALX4,ALX homeobox 4,60529,11,n/a,n/a
1096675,ENSG00000154188,281,ANGPT1,angiopoietin 1,284,8,n/a,n/a
1088824,ENSG00000091879,282,ANGPT2,angiopoietin 2,285,8,n/a,n/a
1089370,ENSG00000101280,30859,ANGPT4,angiopoietin 4,51378,20,n/a,n/a
1091443,ENSG00000116194,8946,ANGPTL1,angiopoietin-like 1,9068,1,n/a,n/a
1094268,ENSG00000136859,23207,ANGPTL2,angiopoietin-like 2,23452,9,n/a,n/a
1093583,ENSG00000132855,27074,ANGPTL3,angiopoietin-like 3,27329,1,n/a,n/a
1099155,ENSG00000167772,30611,ANGPTL4,angiopoietin-like 4,51129,19,n/a,n/a
1103259,ENSG00000187151,90145,ANGPTL5,angiopoietin-like 5,253935,11,n/a,n/a
1093259,ENSG00000130812,58088,ANGPTL6,angiopoietin-like 6,83854,19,n/a,n/a
1100120,ENSG00000171819,10072,ANGPTL7,angiopoietin-like 7,10218,1,n/a,n/a
1086880,ENSG00000001629,33758,ANKIB1,ankyrin repeat and IBR domain containing 1,54467,7,n/a,n/a
1103002,ENSG00000186103,149617,ARGFX,arginine-fifty homeobox,503582,3,n/a,n/a
1098756,ENSG00000166233,25569,ARIH1,"ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)",25820,15,n/a,n/a
1101240,ENSG00000177479,10278,ARIH2,ariadne homolog 2 (Drosophila),10425,3,n/a,n/a
1091603,ENSG00000117407,8928,ARTN,artemin,9048,1,n/a,n/a
1086926,ENSG00000004848,81766,ARX,aristaless related homeobox,170302,X,n/a,n/a
1094738,ENSG00000139352,426,ASCL1,achaete-scute complex homolog 1 (Drosophila),429,12,n/a,n/a
1102423,ENSG00000183734,427,ASCL2,achaete-scute complex homolog 2 (Drosophila),430,11,n/a,n/a
1103677,ENSG00000188886,128963,ASTL,astacin-like metallo-endopeptidase (M12 family),431705,2,n/a,n/a
1094537,ENSG00000138138,59086,ATAD1,"ATPase family, AAA domain containing 1",84896,10,n/a,n/a
1092271,ENSG00000123268,463,ATF1,activating transcription factor 1,466,12,n/a,n/a
1091687,ENSG00000118217,22682,ATF6,activating transcription factor 6,22926,1,n/a,n/a
1100217,ENSG00000172238,471,ATOH1,atonal homolog 1 (Drosophila),474,4,n/a,n/a
1101623,ENSG00000179774,85634,ATOH7,atonal homolog 7 (Drosophila),220202,10,n/a,n/a
1099420,ENSG00000168874,59103,ATOH8,atonal homolog 8 (Drosophila),84913,2,n/a,n/a
1099090,ENSG00000167601,555,AXL,AXL receptor tyrosine kinase,558,19,n/a,n/a
1092568,ENSG00000125492,36030,BARHL1,BarH-like homeobox 1,56751,9,n/a,n/a
1095234,ENSG00000143032,110067,BARHL2,BarH-like homeobox 2,343472,1,n/a,n/a
1093385,ENSG00000131668,35318,BARX1,BARX homeobox 1,56033,9,n/a,n/a
1087464,ENSG00000043039,8472,BARX2,BARX homeobox 2,8538,11,n/a,n/a
1101101,ENSG00000176788,10262,BASP1,"brain abundant, membrane attached signal protein 1",10409,5,n/a,n/a
1103282,ENSG00000187244,4034,BCAM,basal cell adhesion molecule (Lutheran blood group),4059,19,n/a,n/a
1093551,ENSG00000132692,40470,BCAN,brevican,63827,1,n/a,n/a
1091160,ENSG00000114200,587,BCHE,butyrylcholinesterase,590,3,n/a,n/a
1101081,ENSG00000176697,624,BDNF,brain-derived neurotrophic factor,627,11,n/a,n/a
1101751,ENSG00000180535,81731,BHLHA15,"basic helix-loop-helix family, member a15",168620,7,n/a,n/a
1101802,ENSG00000180828,27064,BHLHE22,"basic helix-loop-helix family, member e22",27319,8,n/a,n/a
1092577,ENSG00000125533,79285,BHLHE23,"basic helix-loop-helix family, member e23",128408,20,n/a,n/a
1093745,ENSG00000134107,8487,BHLHE40,"basic helix-loop-helix family, member e40",8553,3,n/a,n/a
1092246,ENSG00000123095,55201,BHLHE41,"basic helix-loop-helix family, member e41",79365,12,n/a,n/a
1094215,ENSG00000136573,637,BLK,B lymphoid tyrosine kinase,640,8,n/a,n/a
1099334,ENSG00000168487,645,BMP1,bone morphogenetic protein 1,649,8,n/a,n/a
1089493,ENSG00000102010,656,BMX,BMX non-receptor tyrosine kinase,660,X,n/a,n/a
1099588,ENSG00000169594,643,BNC1,basonuclin 1,646,15,n/a,n/a
